SMILES,IC50
N[C@H]1CC[C@H](Nc2nc(Nc3ccc(Br)cc3)c3ncn(C4CCCC4)c3n2)CC1,4
C[C@@H](CO)CNc1nc(Nc2ccc(Br)cc2)c2ncn(C3CCCC3)c2n1,281
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,5.15
CN(/N=C/c1cnn2ccc(Cl)nc12)S(=O)(=O)c1ccc(F)cc1,3301
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3ccc(OCCN4CCOCC4)c4onc(N)c34)cc2)c1,34
COc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)c2c(N)noc12,30
Nc1noc2cccc(-c3ccc(NC(=O)Nc4ccc(F)c(C(F)(F)F)c4)cc3)c12,28
Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,17
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1,22
COc1cc(C)cc(-c2c(-c3ccnc(-c4ccc(N(C)C)cc4)c3)cnn2CC#N)c1,1740
CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,1.6
CC(C)OC(=O)c1c(O)cc(OCCCN2CCOCC2)cc1/C=C/CN1C(=O)C=CC1=O,940
CC1=CC(=O)N(Nc2nc(-c3ccc(N)cc3)nc3scc(-c4ccccc4)c23)C1=O,546
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,60
N=C(NO)c1cccc(C#Cc2c(N)ncc3ccc(Cl)cc23)c1,217
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1.Cl.Cl,69
CN1CCN(Cc2ccc(C(=O)Nc3cc(-c4ccc(CNC(=O)Nc5cc(C(C)(C)C)on5)cc4)n[nH]3)cc2)CC1,4
CC(C)(C)c1cc(NC(=O)NCc2ccc(-c3cc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)[nH]n3)cc2)no1,18
Cc1cc(-c2cc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)[nH]n2)ccc1NC(=O)Nc1cc(C(C)(C)C)on1,2
Cc1cc(-c2cc(NC(=O)c3ccc(OCCN4CCOCC4)cc3)[nH]n2)ccc1NC(=O)Nc1cc(C(C)(C)C)on1,20
CN(C)CCCn1cc(-c2ccc3c(c2)C(=O)c2c-3[nH]c3cc(-c4cn[nH]c4)ccc23)cn1,6
COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c5ccccc5c4=O)cc3F)ccnc2cc1OCCCN1CCCC1,8.5
COc1cccc2cc(C(=O)c3cc4cc(O)ccc4[nH]3)[nH]c12,6600
Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc1)CCN2,9
CCCNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccc(F)cc4)c3=O)cc2)ccn1,2.18
NCCCCCNc1nc(Nc2ccc(CN3CCOCC3)cc2)c2ncn(C3CCCC3)c2n1,25
CN1CCN(Cc2ccc(NC(=O)c3n[nH]cc3Nc3nc(C4CC4)nc4sccc34)cc2)CC1,15.7
CS(=O)(=O)CCN1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1,98
N[C@H]1CC[C@H](Nc2nc(Nc3ccc(N4CCOCC4)nc3)c3ncn(C4CCCC4)c3n2)CC1,4
CCN1CCN(c2ccc(Nc3nc(NCCCCN)nc4c3ncn4C3CCCC3)cc2)CC1,1
